agency_id,route_id,route_long_name,route_short_name,route_type,bus_num,
DIMTS,2014,479STLUP,,3,479STL - Badarpur Border (T),
DIMTS,1152,925STLDOWN,,3,925STL - Hari Nagar Depot,
DIMTS,484,534BUP,,3,534B - Gazipur Depot,
DIMTS,812,847ADOWN,,3,847A - New Seema Puri Depot Cluster,
DIMTS,1969,17AUP,,3,17A - Ramzan Pur Village,
DIMTS,2093,119LSTLUP,,3,119LSTL - Katewara Village,
DIMTS,672,433LSTLUP,,3,433LSTL - Kushak Nallah Depot,
DIMTS,1735,207UP,,3,207 - ARSD College / Dhaula Kuan,
DIMTS,10006,GL - 91STLUP,,3,GL-91STL - Ghuman Hera Depot 2,
DIMTS,974,408EXTCLDOWN,,3,408EXTCL - Raghubir Nagar F Block,
DIMTS,43,926EUP,,3,926E - Tikri Border Metro Station,
DIMTS,1386,784STLUP,,3,784STL - Yamuna Vihar Cluster Depot,
DIMTS,1837,836DOWN,,3,836 - Tilak Nagar Terminal
DIMTS,835,826EUP,,3,826E - Ch Brahm Parkash Ayurvedic Hospital,
DIMTS,128,182ADOWN,,3,182A - ISBT Kashmere Gate Terminal,
DIMTS,1741,826DOWN,,3,826 - Tilak Nagar Terminal,
DIMTS,376,125LSTLDOWN,,3,125LSTL - Vishal Enclave (Bawana Road),
DIMTS,1300,143UP,,3,143 - Keshav Nagar Mukti Ashram,
DIMTS,1284,197STLDOWN,,3,197STL - B Block Prashant Vihar,
DIMTS,1992,945UP,,3,945 - Transport Department,
DIMTS,2145,770ALINKSTLUP,,3,770ALINKSTL - Delhi Sachivalaya (Rajghat Power House),
DIMTS,474,106UP,,3,106 - Qutub Garh Village (T),
DIMTS,1523,806STLDOWN,,3,806STL - Rewla Khanpur Depot,
DIMTS,0,764MSTLDOWN,,3,764MSTL - Dichau Kalan Depot,
DIMTS,1342,168STLDOWN,,3,168STL - Ranhola II,
DIMTS,513,61STLDOWN,,3,61STL - Rani Khera Depot 2,
DIMTS,1473,978UP,,3,978 - RAM NAGAR COLONY BQS,
DIMTS,213,844DOWN,,3,844 - Najafgarh Terminal,
DIMTS,1438,183UP,,3,183 - Rohini Sec-15 E-2,
DIMTS,1678,391STLUP,,3,391STL - Kalyan Puri Terminal,
DIMTS,2089,479ACLDOWN,,3,479ACL - ARSD College / Dhaula Kuan,
DIMTS,1254,539STLUP,,3,539STL - Ranhola II,
DIMTS,1669,212DOWN,,3,212 - Anand Parvat Terminal,
DIMTS,582,410STL2DOWN,,3,410STL2 - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,960,763ADOWN,,3,763A - Mayapuri Depot Crossing,
DIMTS,1150,807EXTUP,,3,807EXT - Sai Baba Mandir,
DIMTS,1629,39STLUP,,3,39STL - Jai Mata Market Tri Nagar Terminal,
DIMTS,310,164STLUP,,3,164STL - RAM NAGAR COLONY BQS,
DIMTS,504,202DOWN,,3,202 - Mori Gate Terminal,
DIMTS,18,144AUP,,3,144A - Singhu Border GT Road,
DIMTS,1209,340STLDOWN,,3,340STL - Shahdra Border,
DIMTS,1886,611DUP,,3,611D - RK Puram Sec-1,
DIMTS,386,03STLDOWN,,3,03STL - Indraprastha Cluster Depot,
DIMTS,114,422STLDOWN,,3,422STL - Mori Gate Terminal,
DIMTS,1907,721DOWN,,3,721 - ISBT Kashmere Gate Terminal,
DIMTS,278,539LSTLDOWN,,3,539LSTL - RAM NAGAR COLONY BQS,
DIMTS,1573,411LNKSTLUP,,3,411LNKSTL - Okhla Depot IV CWS II,
DIMTS,147,139AUP,,3,139A - Bhalaswa Village Crossing,
DIMTS,965,236ADOWN,,3,236A - Ranhola II,
DIMTS,1699,174DOWN,,3,174 - Azadpur Terminal,
DIMTS,1748,254STLDOWN,,3,254STL - Hari Nagar Depot,
DIMTS,1359,78AUP,,3,78A - Todapur Village,
DIMTS,1732,164DOWN,,3,164 - Sharda Niketan / Bank Vihar,
DIMTS,407,433LINKSTLDOWN,,3,433LINKSTL - New Delhi Railway Station Gate 2,
DIMTS,799,717DOWN,,3,717 - Badarpur Border (T),
DIMTS,1138,181UP,,3,181 - Ashok Vihar Water Tank,
DIMTS,439,910LSTLUP,,3,910LSTL - Ghuman Hera Depot 1,
DIMTS,2058,121LSTLUP,,3,121LSTL - Yamuna Vihar Cluster Depot,
DIMTS,396,611CDOWN,,3,611C - RK Puram Sec-9,
DIMTS,1343,142DOWN,,3,142 - Old Delhi Railway Station,
DIMTS,196,764MPSTLUP,,3,764MPSTL - Mangla Puri Terminal,
DIMTS,1802,405STLUP,,3,405STL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,952,433STLDOWN,,3,433STL - Kushak Nallah Depot,
DIMTS,1075,139UP,,3,139 - Bhalaswa Village Crossing,
DIMTS,832,894STLUP,,3,894STL - Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,
DIMTS,1478,193AUP,,3,193A - Singhu Border Crossing,
DIMTS,650,471DOWN,,3,471 - Inder Puri JJ Colony,
DIMTS,1557,852LNKSTLUP,,3,852LNKSTL - NSIT (Netaji Subhas Institute),
DIMTS,517,822UP,,3,822 - Issapur Village Temple,
DIMTS,1260,940LNKSTLUP,,3,940LNKSTL - RAM NAGAR COLONY BQS,
DIMTS,2150,806STLUP,,3,806STL - Paprawat Village,
DIMTS,34,CGOCOMPLEX - 2UP,,3,CGOCOMPLEX-2 - Sarojini Nagar Market,
DIMTS,1360,961BDOWN,,3,961B - Katewara Village,
DIMTS,573,33LNKSTLUP,,3,33LNKSTL - Shahdra Border,
DIMTS,1583,418ALINKSTLDOWN,,3,418ALINKSTL - Kushak Nallah Depot,
DIMTS,567,522EUP,,3,522E - R-Block Rajendra Nagar,
DIMTS,1338,932ADOWN,,3,932A - Harsh Vihar Terminal,
DIMTS,1147,872DOWN,,3,872 - Tilak Nagar Terminal,
